map_name,seed,num_agents,solver,task_frequency,task_num,solved,service_time,makespan,comp_time
warehouse.map,82,30,PIBT,0.2,500,1,24.428,2557,14
warehouse.map,83,30,PIBT,0.2,500,1,24.364,2758,16
warehouse.map,4,30,PIBT,0.2,500,1,25.396,2435,14
warehouse.map,5,30,PIBT,0.2,500,1,25.284,2452,14
warehouse.map,6,30,PIBT,0.2,500,1,24.582,2638,14
warehouse.map,7,30,PIBT,0.2,500,1,24.794,2491,14
warehouse.map,32,30,PIBT,0.2,500,1,24.292,2593,15
warehouse.map,33,30,PIBT,0.2,500,1,24.572,2486,14
warehouse.map,34,30,PIBT,0.2,500,1,24.224,2686,14
warehouse.map,35,30,PIBT,0.2,500,1,24.0,2668,14
warehouse.map,20,30,PIBT,0.2,500,1,24.284,2431,14
warehouse.map,21,30,PIBT,0.2,500,1,25.174,2663,15
warehouse.map,22,30,PIBT,0.2,500,1,25.306,2483,14
warehouse.map,23,30,PIBT,0.2,500,1,25.302,2643,14
warehouse.map,24,30,PIBT,0.2,500,1,24.668,2613,15
warehouse.map,25,30,PIBT,0.2,500,1,24.268,2401,13
warehouse.map,26,30,PIBT,0.2,500,1,25.216,2604,14
warehouse.map,27,30,PIBT,0.2,500,1,24.88,2605,14
warehouse.map,8,30,PIBT,0.2,500,1,25.162,2486,18
warehouse.map,9,30,PIBT,0.2,500,1,25.198,2602,14
warehouse.map,10,30,PIBT,0.2,500,1,24.66,2599,13
warehouse.map,11,30,PIBT,0.2,500,1,25.044,2557,13
warehouse.map,16,30,PIBT,0.2,500,1,24.562,2501,13
warehouse.map,17,30,PIBT,0.2,500,1,24.622,2475,13
warehouse.map,18,30,PIBT,0.2,500,1,23.484,2699,14
warehouse.map,19,30,PIBT,0.2,500,1,26.068,2406,12
warehouse.map,36,30,PIBT,0.2,500,1,24.236,2248,12
warehouse.map,37,30,PIBT,0.2,500,1,24.972,2434,13
warehouse.map,38,30,PIBT,0.2,500,1,25.006,2646,13
warehouse.map,39,30,PIBT,0.2,500,1,24.986,2657,13
warehouse.map,48,30,PIBT,0.2,500,1,24.278,2556,13
warehouse.map,49,30,PIBT,0.2,500,1,25.322,2424,12
warehouse.map,50,30,PIBT,0.2,500,1,24.886,2543,13
warehouse.map,51,30,PIBT,0.2,500,1,25.164,2449,12
warehouse.map,28,30,PIBT,0.2,500,1,24.436,2501,14
warehouse.map,29,30,PIBT,0.2,500,1,24.514,2852,14
warehouse.map,30,30,PIBT,0.2,500,1,24.612,2388,12
warehouse.map,31,30,PIBT,0.2,500,1,25.176,2430,12
warehouse.map,56,30,PIBT,0.2,500,1,24.858,2351,13
warehouse.map,57,30,PIBT,0.2,500,1,25.208,2574,14
warehouse.map,58,30,PIBT,0.2,500,1,24.486,2520,14
warehouse.map,59,30,PIBT,0.2,500,1,24.464,2532,14
warehouse.map,52,30,PIBT,0.2,500,1,24.38,2401,12
warehouse.map,53,30,PIBT,0.2,500,1,25.772,2475,12
warehouse.map,54,30,PIBT,0.2,500,1,24.554,2645,13
warehouse.map,55,30,PIBT,0.2,500,1,24.57,2481,14
warehouse.map,0,30,PIBT,0.2,500,1,24.458,2462,14
warehouse.map,1,30,PIBT,0.2,500,1,24.832,2475,13
warehouse.map,2,30,PIBT,0.2,500,1,24.968,2498,13
warehouse.map,3,30,PIBT,0.2,500,1,24.044,2547,13
warehouse.map,12,30,PIBT,0.2,500,1,25.092,2594,14
warehouse.map,13,30,PIBT,0.2,500,1,24.258,2715,14
warehouse.map,14,30,PIBT,0.2,500,1,24.528,2542,13
warehouse.map,15,30,PIBT,0.2,500,1,25.644,2701,14
warehouse.map,40,30,PIBT,0.2,500,1,24.17,2509,14
